imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt0033613,Flying Wild,,1941,Passed,Sam Katzman Productions,USA,English,64.0,William West,"Al Martin , Al Martin","Leo Gorcey, Bobby Jordan, Joan Barclay","Action, Comedy, Drama",A group of young men who work at an aviation factory begin to suspect that a doctor who runs an air ambulance service is secretly a spy transporting secret information from the plant to enemy agents.,,,,5.9,440
tt2625028,Fly Me to Minami,Koi suru minami,2013,,"Cinema Drifters, Duckbill Entertainment",Japan,Japanese,103.0,Kah-Wai Lim,"Kah-Wai Lim  , Aki Itami","Sherine Wong, Kenji Kohashi, Baek Seol Ah","Comedy, Drama","In this coming of age story, a fashion editor, a photographer, a shopkeeper, and a flight attendant are explored over three countries. The lives, loves, and careers of these characters are ",,,,4.1,22
tt0486321,Fly Me to the Moon 3D,Fly Me to the Moon,2008,G,"nWave Pictures, Illuminata Pictures",Belgium,English,84.0,"Ben Stassen, Mimi Maynard",Domonic Paris,"Trevor Gagnon, Philip Bolden, David Gore","Animation, Adventure, Family",Three young houseflies stow away aboard the Apollo 11 flight to the moon.,25000000,13816982,46651414,4.5,4042
tt5086308,Fly on the Wall,,2018,,"Lemming Heaven Pictures, RandomInc Films",USA,English,89.0,Michael R. Morris,Michael R. Morris,"Brian Combs, David Danipour, Terence Tierney","Action, Crime, Horror","A young man uses a bug camera to spy on his ex-girlfriend, then witnesses her abduction.",,,,3.4,83
tt3124738,Flyover Country,,2013,Not Rated,Objectif 49 Films,USA,English,100.0,Jim Fields,"Jim Fields , Shaun Vetick","Mike Mecek, Myles Dabbs, Garrett Palensky","Comedy, Drama","Friendship, love, and acceptance, set in the heartland of America.",,,,6.2,96
tt3333980,Flytrap,,2015,,My Man Productions,USA,English,81.0,Stephen David Brooks,"Stephen David Brooks, Stephen David Brooks","Jeremy Crutchley, Gabrielle Stone, Jonah Blechman","Comedy, Drama, Sci-Fi",FLYTRAP mixes sci-fi with dark humor to tell the story of a reserved English Astronomer who becomes ensnared by the mysterious Mary Ann and her creepy and dangerous comrades. Held hostage ,,,,7.5,1462
tt0166604,Fögi Is a Bastard,F. est un salaud,1998,Unrated,"Vega Film, Avventura Films",France,French,91.0,Marcel Gisler,"Martin Frank , Marcel Gisler","Frédéric Andrau, Vincent Branchet, Urs Peter Halter","Drama, Music, Romance","Fifteen-year-old Beni falls in love with Fögi, a singer in a Rock band. As Fögi seduces him, Beni is willing to follow him where ever he takes him. But Fögi is a drug addict and pulls Beni ",,,,6.5,2272
tt0037711,Fog Island,,1945,Approved,Producers Releasing Corporation (PRC),USA,English,72.0,Terry O. Morse,"Pierre Gendron , Bernadine Angus","George Zucco, Lionel Atwill, Jerome Cowan","Drama, Horror, Mystery","An inventor recently released from prison invites a group of former business associates to a holiday in his island home, intending to exact revenge on them.",,,,5.3,563
tt4396584,Follow,,2015,TV-MA,,USA,English,74.0,Owen Egerton,Owen Egerton,"Haley Lu Richardson, Don Most, Noah Segan","Horror, Thriller",A man who receives an early Christmas present from his girlfriend blacks out only to wake up in a terrifying nightmare.,,,,4.8,589
tt6251666,Followers,,2017,Not Rated,Justified Films / Entertainment,USA,English,82.0,Ryan Justice,,"Amanda Delaney, Justin Maina, Sean Michael Gloria",Thriller,A social media couple's camping trip is ruined by filmmakers making a documentary on how easy it is to track someone down off social media and kill them.,,3350,3350,3.7,213
tt7631792,Follow Me,,2018,,,United Arab Emirates,English,80.0,Asri Bendacha,Asri Bendacha,,Documentary,"After hearing that some people get paid $5000 for posting a picture on Instagram, broke and out of work director, Asri Bendacha sets out on a journey to become a social media influencer and",,,,4.9,165
tt2062961,Follow Me: The Yoni Netanyahu Story,,2012,Unrated,Crystal City Entertainment,USA,English,87.0,"Jonathan Gruber, Ari Daniel Pinchot",Jonathan Gruber,,Documentary,"The story of Yonatan Netanyahu, commander of an elite Israeli army commando unit who was killed during Operation Entebbe, a hostage-rescue mission carried out at Entebbe Airport in Uganda ",,112679,112679,6.7,154
tt0036832,Follow the Boys,,1944,Approved,Universal Pictures,USA,English,122.0,"A. Edward Sutherland , John Rawlins","Lou Breslow , Gertrude Purcell","George Raft, Vera Zorina, Grace McDonald","Comedy, Drama, Musical","During World War II, all the studios put out ""all-star"" vehicles which featured virtually every star on the lot--often playing themselves--in musical numbers and comedy skits, and were ",,,,5.9,357
tt5968588,Food As Medicine,,2016,,,USA,English,,Lenore Eklund,,"Sarah Ballantyne, Terry Wahls",1h 27min,"From personal healing, inspiration grew to create a positive film about people addressing disease with food. There are a lot of negative messages about the state of our nation's health and ",,,,7.1,39
tt2141739,Food Chains,,2014,Not Rated,"Illumine Group, Two Moons Production",USA,English,83.0,Sanjay Rawal,"Erin Barnett, Sanjay Rawal","Eve Ensler, Barry Estabrook, Dolores Huerta",Documentary,"There is so much interest in food these days yet there is almost no interest in the hands that pick that food. In the US, farm labor has always been one of the most difficult and poorly ",913000,,,7.2,335
tt6039284,Food Choices,,2016,TV-PG,New Root Films,USA,English,91.0,Michal Siewierski,Michal Siewierski,"Pam Popper, T. Colin Campbell, Joe Cross",Documentary,"This documentary follows filmmaker Michal Siewierski as he explores the impact that food choice has on people's health, the health of our planet and on the lives of other species sharing ",,,,7.3,2772
tt6188658,Food Evolution,,2016,TV-PG,"Black Valley Films, Boomdozer",USA,English,92.0,Scott Hamilton Kennedy,"Scott Hamilton Kennedy, Trace Sheehan","Raoul Adamchak, Charles Benbrook, Karl Haro von Mogel",Documentary,"Using the controversy over genetically-modified foods as its entry point, 'Food Evolution' shows how easily fear and misinformation can overwhelm objective, evidence-based analysis.",,17181,17181,7.0,525
tt1193092,Food Fight,,2008,Not Rated,"November Films, Positively 25th Street Productions",USA,English,83.0,Christopher Taylor,"Aaron Ginsburg, Wade McIntyre","Michael Pollan, Alice Waters, Marion Nestle",Documentary,"A fascinating look at how American agricultural policy and food culture developed in the 20th century, and how the California food movement rebelled against big agribusiness to launch the local organic food movement.",1000000,,,7.1,234
tt1286537,"Food, Inc.",,2008,PG,"Magnolia Pictures, Participant",USA,English,94.0,Robert Kenner,"Robert Kenner, Elise Pearlstein","Michael Pollan, Eric Schlosser, Richard Lobb","Documentary, News",An unflattering look inside America's corporate controlled food industry.,,4417674,4606199,7.8,48222
tt0309600,Food of Love,,2002,R,"42nd Street Productions S.L., Els Films de la Rambla",Spain,English,112.0,Ventura Pons,"David Leavitt , Ventura Pons","Paul Rhys, Kevin Bishop, Juliet Stevenson","Drama, Music, Romance","Paul, a handsome and talented music student is employed as the page-turner at one of the world famous pianist Kennington's concerts in San Francisco.",,43922,113164,6.0,1563
tt8569230,Foods That Cure Disease,,2018,,Post Reel Pictures,USA,English,256.0,Craig McMahon,,"T. Colin Campbell, Caldwell Esselstyn Jr., Michael Greger",Documentary,"Over 4 hours of crucial video. Diagnosed with high cholesterol, Craig McMahon took control of his health and beat his genetic fate by consuming a whole plant-based diet inspired by Doctors ",85000,,,6.0,88
tt1826692,Fools on the Hill,,2012,Not Rated,"Honor in Office Productions, Zuko Films",USA,English,80.0,Jed Rigney,Jed Rigney,"Jerrol LeBaron, Dean Cain, Ed Begley Jr.",Documentary,"American politicians don't write the laws or read the laws and then they pass the laws. Disgusted with the corruption, an average businessman exposes incompetence and greed while trying to single-handedly fix how laws are passed.",250000,,,8.2,54
tt1087447,Footprints,,2009,Not Rated,Our Gal Pictures,USA,English,80.0,Steven Peros,Steven Peros,"Sybil Darrow, H.M. Wynant, Pippa Scott","Drama, Mystery","An amnesiac young woman (Sybil Temtchine) wakes up, face down on the footprints of Graumans Chinese Theatre, and spends one day, from sunrise to sunset, entirely on Hollywood Boulevard, ",,,,4.8,106
tt6079160,"Footprints, the Path of Your Life",,2016,PG,Infinito mas uno,Spain,English,89.0,Juan Manuel Cotelo,"Juan Manuel Cotelo , Alexis Martínez",,Documentary,"A Roman Catholic priest leads a band of ten young men from various backgrounds on a pilgrimage. They walk from the south of France along the less popular Northern Route of the ""Camino"" to ",EUR200000,,145730,6.1,220
tt0770753,Footsteps,,2006,Not Rated,Random Films,UK,English,80.0,Gareth Evans,Gareth Evans,"Nicholas Bool, Mads Koudal, Jared Morgan","Drama, Thriller","A young man called Andrew is forced to endure a bitter encounter with a man known as the Cameraman, who enjoys filming beatings, murders and rapes in an abandoned underpass.",GBP10000,,,4.2,259
tt2176786,For a Woman,Pour une femme,2013,,"Alexandre Films, Rise Films",France,French,110.0,Diane Kurys,Diane Kurys,"Benoît Magimel, Mélanie Thierry, Nicolas Duvauchelle",Drama,"The story of the marriage between Michel and Lena, as told by their daughter Anne, with reflections on the mystery of abiding love.",,32286,1232286,6.5,656
tt0022905,Forbidden,,1932,Approved,Columbia Pictures,USA,English,85.0,Frank Capra,"Frank Capra , Jo Swerling","Barbara Stanwyck, Adolphe Menjou, Ralph Bellamy","Drama, Romance","A librarian takes a cruise and falls for an unobtainable man, a district attorney married to a crippled woman.",,,,6.9,1213
