imdb_id,title_imdb,title_original,year,rating,company,country,language,runtime,director,writer,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt2518788,1,,2013,Not Rated,Diamond Docs,USA,English,112.0,Paul Crowder,Mark Monroe,"Michael Fassbender, Niki Lauda, Lewis Hamilton","Documentary, History, Sport","Set in the golden era of Grand Prix Racing '1' tells the story of a generation of charismatic drivers who raced on the edge, risking their lives during Formula 1's deadliest period, and the men who stood up and changed the sport forever.",,,,8.0,3534
tt2979366,21 Days,,2014,TV-MA,Tortilla Flats Productions,USA,English,89.0,Kathleen Behun,Kathleen Behun,"Max Hambleton, Whitney Rose Pynn, Mickey River","Horror, Thriller","Three filmmakers embark on a paranormal challenge by barricading themselves in a house so haunted, no one has been able to live in for more than 21 days.",,,,4.5,493
tt5201246,No Regrets,36 Hour Layover,2016,Not Rated,,USA,English,88.0,Mark Harris,Mark Harris,"Loretta Devine, Sharon Leal, Elise Neal",Comedy,"After 12 years with her college sweetheart (and none before him), Nina meets a divorced man at her hotel during her 36 hour layover as air-hostess and spends time with him, his daughter and his ex.",1000000,,,5.8,74
tt3216846,Devilish Charm,,2014,Not Rated,Rapid Heart Pictures,USA,English,78.0,David DeCoteau,Rolfe Kanefsky,"Courtney Blythe Turk, Ryan Walker, R.J. Cantu",Thriller,"When a cursed devil's charm' bracelet shows up at a sorority house on Valentine's Day, each girl tries to make a series of wishes, and each finds that unintended consequences are the primary purpose of Satan's sinister strategy.",1000000,,,3.4,110
tt0306434,Aankhen,,2002,TV-14,Gaurang Doshi Productions,India,Hindi,165.0,Vipul Amrutlal Shah,Shobhna Desai,"Amitabh Bachchan, Akshay Kumar, Sushmita Sen","Comedy, Crime, Drama","After a temperamental man is unceremoniously stripped of his duties as a bank manager, he decides to seek revenge by robbing the bank. He trains three blind men to do this risky task for him.",,,,7.4,11512
tt0038380,"A Boy, a Girl and a Dog",,1946,Passed,W.R. Frank Productions,USA,English,75.0,Herbert Kline,Maurice Clark,"Sharyn Moffett, Jerry Hunter, Harry Davenport","Action, Drama, War","During World War II, a young boy and girl, living with their respective families in an apartment house that had restrictions against pets, adopt a lost dog and hide it in a vacant apartment",,,,7.0,46
tt0080532,A Christmas Without Snow,,1980,Not Rated,Korty Films,USA,English,95.0,John Korty,John Korty,"Michael Learned, John Houseman, Ramon Bieri","Drama, Music","A divorced woman moves to a new city with her child, trying to build her life again. She joins the choir of a local church but has some personality conflicts with the choirmaster, a ",,,,5.8,315
tt3339208,A Dark Place Inside,,2014,TV-MA,Maniac Films,USA,English,80.0,Mike O'Mahony,Mike O'Mahony,"Chris Dalbey, Kieran Boyle, Rob Dimension",Horror,"To survive, Andy commits heinous acts of murder to find refuge from a world that is in essence mad, a world where we deny our true will, thoughts and desires. How many people like Andy ",,,,4.1,65
tt2820346,Aerosmith: Rock for the Rising Sun,,2013,Unrated,,USA,English,140.0,Casey Tebo,,"Aerosmith, Tom Hamilton, Russ Irwin",Music,The 5 members of Aerosmith were told to refrain from going to Japan after the Fukushima disaster in 2011. They didn't listen.,200000,,,7.7,55
tt5168832,After Porn Ends 2,,2017,TV-MA,WeBros Entertainment,USA,English,90.0,Bryce Wagoner,,"Lisa Ann, Georgina Spelvin, Darren James",Documentary,"After Porn Ends 2 turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of its most current retirees, and juxtaposes their experiences in a life after porn.",500000,,,5.4,2195
tt1912981,A Haunting in Salem,,2011,R,The Asylum,USA,English,86.0,Shane Van Dyke,H. Perry Horton,"Bill Oberst Jr., Courtney Abbiati, Jenna Stone","Horror, Mystery, Thriller","In this spine-chilling indie horror flick, a sheriff relocates to Salem, Mass., with his family -- only to discover that the house they've moved into is plagued by an ancient curse and haunted by malicious spirits.",,,,3.2,1308
tt1226240,A Late Quartet,,2012,R,Opening Night Productions,USA,English,105.0,Yaron Zilberman,Seth Grossman,"Philip Seymour Hoffman, Christopher Walken, Catherine Keener","Drama, Music","Members of a world-renowned string quartet struggle to stay together in the face of death, competing egos and insuppressible lust.",,1562548,6303709,7.1,13184
tt1737796,Alien Rising,Gemini Rising,2013,Not Rated,Pathfinder Film Group,USA,English,93.0,Dana Schroeder,Michael Todd,"Lance Henriksen, Amy Hathaway, John Savage","Action, Sci-Fi, Thriller",A savvy ex-homeland security agent and martial arts expert is forced to a remote island to help the military unlock the secrets of an extraterrestrial technology. This sci fi thriller ,3500000,,,3.1,318
tt5022680,All Hallows' Eve 2,,2015,Unrated,Hollywood Shorts,USA,English,91.0,Bryan Norton,Jesse Baget,"Andrea Monier, Damien Monier, Helen Rogers",Horror,A woman finds a VHS tape on her doorstep that shows a series of gruesome tales that could be real. But the true danger is the pumpkin-faced killer that's using the tape to find his next victim.,,,,4.8,1316
tt3480446,Almost Mercy,,2015,Not Rated,Magna Entertainment,USA,English,85.0,Tom DeNucci,Tom DeNucci,"Bill Moseley, Kane Hodder, Allie Marshall",Horror,Jackson and Emily aren't like the other kids. Two burgeoning sociopaths on the brink of total meltdown. Ticking time bombs seeking revenge. Who will unravel first?,,,,6.0,933
tt0110455,A Man of No Importance,,1994,R,BBC Films,Ireland,English,99.0,Suri Krishnamma,Barry Devlin,"Albert Finney, Brenda Fricker, Michael Gambon","Comedy, Drama","Alfie Byrne is a middle-aged bus conductor in Dublin in 1963. He would appear to live a life of quiet desperation: he's gay, but firmly closeted, and his sister is always trying to find him",,920916,920916,6.8,933
tt2923316,American Heist,,2014,R,Glacier Films,Canada,English,94.0,Sarik Andreasyan,Raul Inglis,"Hayden Christensen, Adrien Brody, Jordana Brewster","Action, Crime, Drama","James owes his life to his older brother, Frankie after taking the rap for a crime they committed together. While Frankie served time, James worked to turn his life around, got a steady job and began courting his former girlfriend Emily. Now, Frankie is released and back on the streets with no money and no place to go.",10000000,,2931475,5.0,15735
tt1465471,A Model Daughter: The Killing of Caroline Byrne,,2009,,Screentime,Australia,English,94.0,Tony Tilse,Peter Gawler,"Garry McDonald, David Lyons, Cariba Heine","Crime, Drama","The movie is based on the true story of beautiful young Australian model Caroline Byrne, who tragically met her death in 1995. She was found at the bottom of the high cliffs of ""the Gap""; a",,,,6.3,312
tt7454138,Anchors Up,Elias og Storegaps Hemmelighet,2017,Not Rated,Animando,Norway,Norwegian,73.0,Simen Alsvik,Simen Alsvik,"Nina-Zofia Amerschläger, Achim Barremstrein, Dagmar Bittner",Animation,"After a brave rescue mission in stormy weather, a young rescue boat is headhunted to a larger harbor where he realizes that bigger is not always better.",NOK27000000,,843281,5.3,235
tt3646322,Angel's Bounty,,2015,Not Rated,Passionate Apathy Entertainment,USA,English,84.0,Lee Fleming,Lee Fleming,"Sonia Alexandria, Michael Baszler, Alastair Bayardo",Comedy,Some people take out the trash. Some people bring it back in.,10000,,,4.0,33
