title,original_title,year,rating,companies,country,language,runtime,crew,cast,genres,collection,synopsis,budget,gross,tmdb_score,tmdb_votes,tmdb_id,imdb_id
1,1,2013,,"Exclusive Media, Flat-Out Films",United States of America,English,112.0,"Paul Crowder, Mark Monroe, Michael Shevloff","Niki Lauda, Michael Schumacher, Lewis Hamilton",Documentary,,"Set in the golden era of Grand Prix Racing '1' tells the story of a generation of charismatic drivers who raced on the edge, risking their lives during Formula 1's deadliest period, and the men who stood up and changed the sport forever.",,,7.4,59,217316,tt2518788
"10,000 BC","10,000 BC",2008,,"Centropolis Entertainment, Legendary Entertainment",United States of America,English,109.0,"Roland Emmerich, Sarah Bradshaw, Tom Karnowski","Steven Strait, Camilla Belle, Cliff Curtis","Adventure, Action, Drama, Fantasy",,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,105000000.0,266000000.0,5.3,1765,7840,tt0443649
1000 Rupee Note,Ek Hazarachi Note,2016,,,India,Marathi (Marāṭhī),89.0,"Shrihari Sathe, Shrikant Bojewar",Sandeep Pathak,Drama,,"Poor Parobudhi receives a thousand rupee note from a politician at an election rally. However, she has no idea about the kind of trouble she just got into. Ek Hazarachi Note is an encouraging tale of humanity against money.",,,6.9,7,318654,tt2937158
1000 To 1,1000 To 1,2014,,,United States of America,English,99.0,Michael Levine,"David Henrie, Hannah Marks, Luke Kleintank",Drama,,"Cory Weissman is a college basketball player who suffers a devastating stroke. He perseveres to find new meaning in his life both on, and more importantly, off the court.",,,5.9,19,268245,tt2391950
100% arabica,100% arabica,1997,,,,French,,Mahmoud Zemmouri,,Drama,,"The movie takes place in a poverty-stricken, rent-controlled neighborhood on the outskirts of Paris. Algerian immigrants, many of whom are in France illegally, the place has earned the nickname of ""100%Arabica"". It's a rough neighborhood - crime is rampant, gangs of juvenile delinquents roam the streets, and the police are afraid to patrol the area. When the out-of-touch mayor decides that he wants to restore order to the area, he offers a subsidy to Slimane, the imam of the local mosque. If Slimane can get people off the streets, the mayor will continue the payments. Soon the byways of 100%Arabica are almost peaceful - but not because of something Slimane has done. The reason is that a new Rai Band, Rap Oriental, has taken the neighborhood by storm...",,,6.0,1,99800,tt0156245
100 Blocks,100 Blocks,2016,,,,English,87.0,,"Haran Jackson, Tina Gilton, Jason Kyle",Drama,,"When a young man tries to escape the cycle of violence and leave the streets behind, he finds himself at a crossroads as unexpected events change his plans.",,,0.0,0,571652,tt6105714
100 Bloody Acres,100 Bloody Acres,2012,,"Major International Pictures, Cyan Films",Australia,English,91.0,"Cameron Cairnes, Colin Cairnes, Kate Croser","Damon Herriman, Angus Sampson, Anna McGahan","Comedy, Horror",,"Reg and Lindsay run an organic fertiliser business. They need a fresh supply of their ""secret ingredient"" to process through the meat grinder. Reg comes across two guys and a girl with a broken-down vehicle on their way to a music festival.",,,6.1,58,126757,tt2290065
100 Days Before the Command,Сто дней до приказа,1991,,Gorky Film Studios,Russia,English,71.0,Hussein Erkenov,"Vladimir Zamanskiy, Oleg Vasilkov, Roman Grekov",Drama,,"Visually astonishing, erotically charged and emotionally jarring. '100 Days Before the Command' is Hussein Erkenov's courageous and stinging indictment of communism. Five young Red Army recruits struggle for survival against the merciless violence that surrounds them on a daily basis. Their only means of saving their dignity is by preserving the humanity and compassion they share for each other.",,,5.9,8,19830,tt0100694
100 Days of Loneliness,100 días de soledad,2018,,,Spain,Spanish; Castilian,93.0,"Gerardo Olivares, José Díaz Martínez",José Díaz,"Documentary, Drama",,An extraordinary and touching tale about a man alone in the nature.,,,6.3,7,534110,tt8156742
100 Degrees Below Zero,100 Degrees Below Zero,2013,,"The Asylum, Next Station Productions",United States of America,English,88.0,"R.D. Braunstein, H. Perry Horton, Richard Schenkman","John Rhys-Davies, Jeff Fahey, Marc McKevitt Ewins","Action, Science Fiction",,"After freak climate and weather events destroy the world around them, a group of rogue scientists attempt to reverse the deadly new ice age.",500000.0,,3.4,48,182228,tt2538128
