title,original_title,year,companies,country,language,runtime,crew,cast,poster,genres,collection,synopsis,budget,gross,tmdb_score,tmdb_votes,tmdb_id,imdb_id
1,1,2013,"Exclusive Media, Flat-Out Films",United States of America,English,112.0,"Paul Crowder, Mark Monroe, Michael Shevloff","Niki Lauda, Michael Schumacher, Lewis Hamilton",/4uIPXX8DjTsCzUAdtMKHTpojYLq.jpg,Documentary,,"Set in the golden era of Grand Prix Racing '1' tells the story of a generation of charismatic drivers who raced on the edge, risking their lives during Formula 1's deadliest period, and the men who stood up and changed the sport forever.",,,7.4,59,217316,tt2518788
13 Times Evil,13 Times Evil,2016,,,English,,"Philip Gardiner, O.H. Krill","Rick Wallen, Charles Thompsen, Robert Pitt",/tcdAJMNPAlqtsNPtYK0F0GUgHKG.jpg,Documentary,,History is replete with psychotic killers with a horrific and utterly barbarous list of murders and slayings. Explore the darkness that haunts our souls and takes some over the precipice. This is the horror...13 of the Most Evil People to have walked the Earth.,,,0.0,0,386666,
21 Days,21 Days,2014,"Nopal Army, Tortilla Flats Productions",United States of America,English,89.0,Kathleen Behun,"Max Hambleton, Whitney Rose Pynn, Mickey River",/1IXt1E6i6tH8gaCFG6jhlsKM4V5.jpg,"Thriller, Horror",,"Three filmmakers embark on a paranormal challenge by barricading themselves in a house so haunted, no one has been able to live in for more than 21 days.",,,4.7,10,341957,tt2979366
36 Hour Layover,36 Hour Layover,2016,RLJ Entertainment,United States of America,English,88.0,Mark Harris,"Amin Joseph, Monica Calhoun, Brian J. White",/vZCoqQecIEGqfDr4Q3Ppvg3ZXIF.jpg,"Comedy, Romance",,"This film is a romantic comedy about a stewardess (Calhoun), who after 12 years of dating (Joseph) as college sweethearts (along with several marriage proposals in between), meets a business man going through a divorce (White) on one of her job layovers. As expected, sparks fire and unexpectedly a traumatic past is revealed, and the couples lives are changed for ever.",1000000.0,,10.0,1,441453,tt5201246
666: Devilish Charm,666: Devilish Charm,2014,Rapid Heart Pictures,United States of America,English,75.0,"David DeCoteau, Rolfe Kanefsky","Courtney B Turk, Ryan Walker, R.J. Cantu",/cauliUwjBwVEFWGBhlpjnBmWec5.jpg,"Horror, Thriller",,"When a cursed devil's charm' bracelet shows up at a sorority house on Valentine's Day, each girl tries to make a series of wishes, and each finds that unintended consequences are the primary purpose of Satan's sinister strategy.",1000000.0,,3.8,5,270802,tt3216846
Aankhen,Aankhen,2002,,India,Hindi,165.0,Vipul Amrutlal Shah,"Amitabh Bachchan, Akshay Kumar, Sushmita Sen",/sv9tCwXzvTFSbA2OmH9nqQZCNQ7.jpg,"Crime, Thriller",,"After his hatred of dishonesty costs him his job, an embittered man goes over to the dark side and plots to rob the bank he once managed.",,,6.6,32,21982,tt0306434
"A Boy, a Girl and a Dog","A Boy, a Girl and a Dog",1946,,,English,77.0,Herbert Kline,"Jerry Hunter, Sharyn Moffett, Lionel Stander",/1RopkkaptVS3K1eBRFdBh93oKJh.jpg,"Drama, Action, Family, War",,"During World War II, a young boy and girl, living with their respective families in an apartment house that had restrictions against pets, adopt a lost dog and hide it in a vacant apartment, which may have been the only vacant apartment in the United States at the time this movie was being filmed. A burglar breaks in and the apartment is damaged when the dog and crook have a tussle. This blows the dog's cover, but the kids enlist him in the K-9 Corps, and the dog distinguishes himself in the WWII Italian campaign",,,4.5,4,94117,tt0038380
A Christmas Without Snow,A Christmas Without Snow,1980,"Frank Koenigsberg Productions, Korty Films",United States of America,English,95.0,"John Korty, Whitney Green, Frank Konigsberg","Michael Learned, John Houseman, Ramon Bieri",/5EUKTXnlw407VJkC5D7pgf3sdWO.jpg,"Drama, Romance, Family",,"A divorced woman (Michael Learned) moves to San Francisco from Omaha with her young son. She's trying to re-build her life after her divorce, she leaves her son with his grandmother. She joins the choir of a local church. She has some issues with the choirmaster (John Houseman) who tries to get the choir into shape before the Christmas concert. The choir overcome some personal stebacks as they all deal with personal issues. Zoe (Michael Learned) thinks of quitting the choir all together when push comes to shove.",,,6.3,3,46465,tt0080532
A Dark Place Inside,A Dark Place Inside,2014,,,English,80.0,Mike O'Mahony,,/it3ytRP0YbEOwlHdfvoX18rsE2G.jpg,,,"To survive, Andy commits heinous acts of murder to find refuge from a world that is mad, a world where we deny our true will, thoughts and desires. How many people like Andy commit heinous acts in their attempt to ""cope"" with an insane society?",,,1.0,2,287784,tt3339208
Aerosmith: Rock for the Rising Sun,Aerosmith: Rock for the Rising Sun,2013,Eagle Rock Entertainment,Japan,English,114.0,Casey Tebo,"Steven Tyler, Joe Perry, Tom Hamilton",/urfiXtIJFyfW0oR2c9aoLGr9SWv.jpg,"Documentary, Music",,"In March 2011 Japan was beset by a huge earthquake, a monstrous tsunami and the subsequent meltdown of the Fukushima nuclear plant. In the autumn of 2011, despite advice to the contrary, Aerosmith brought their Back On The Road tour to Japan, a country with which they'd always had a special relationship. The Japanese fans came out in their droves and Aerosmith responded with some of the finest gigs of their distinguished career. This film follows the band on that tour combining full length live tracks with behind the scenes footage which is at times touching and emotional and at others humorous and insightful. More than anything else it demonstrates the Japanese fans love affair with Aerosmith and their music.",200000.0,,7.5,1,209999,tt2820346
After Porn Ends 2,After Porn Ends 2,2017,"Karbonshark, WeBros Entertainment",United States of America,English,90.0,"Bryce Wagoner, Andy Weiss, Michael Tipps","Ginger Lynn Allen, Lisa Ann, Janine Lindemulder",/rfItXrtDGILwsCdmgVxX79phFuI.jpg,Documentary,After Porn Ends Collection,"After Porn Ends 2 picks up where it's predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling.",500000.0,,5.0,100,440249,tt5168832
A Haunting in Salem,A Haunting in Salem,2011,,,English,90.0,"Shane van Dyke, H. Perry Horton","Bill Oberst Jr., Courtney Abbiati, Jenna Stone",/iAjc9VTFU0TWEZMirjCBc8t7YUY.jpg,"Horror, Thriller",,"When the new sheriff of Salem, Massachusetts discovers that he is the victim of a centuries-old curse, he must protect his family from the vengeful ghosts that torment his home.",,,3.8,15,70574,tt1912981
A Late Quartet,A Late Quartet,2012,"Opening Night Productions, RKO Pictures LLC",United States of America,English,105.0,"Yaron Zilberman, Cassandra Kulukundis, Vanessa Coifman","Philip Seymour Hoffman, Mark Ivanir, Catherine Keener",/jZkQNyvXEqaq6y3L6iM1I1wRemb.jpg,"Music, Drama",,"When the beloved cellist of a world-renowned string quartet is diagnosed with a life threatening illness, the group’s future suddenly hangs in the balance as suppressed emotions, competing egos and uncontrollable passions threaten to derail years of friendship and collaboration. As they are about to play their 25th anniversary concert — quite possibly their last — only their intimate bond and the power of music can preserve their legacy.",,1562546.0,6.8,119,121879,tt1226240
Alien Rising,Alien Rising,2013,"Pathfinder Productions, Pathfinder Film Group",Germany,English,93.0,"Dana Schroeder, Kenny Yakkel, Tim Anderson","Lance Henriksen, Amy Hathaway, John Savage",/9No9lswnYULlGgKRSotHNWjIefT.jpg,"Thriller, Science Fiction, Action",,"When a seemingly abandoned alien spacecraft is discovered orbiting Neptune, a top secret expedition is sent to investigate. In the derelict hulk they discover two surviving alien life forms telepathically linked to one other.  13 years later a savvy, ex-DEA agent and martial arts expert finds herself renditioned to a high security establishment on a remote island where they are conducting experiments on the incarcerated aliens.",,,3.7,6,310578,tt1737796
All Hallows' Eve 2,All Hallows' Eve 2,2015,"Ruthless Pictures, Hollywood Shorts",United States of America,English,90.0,"Bryan Norton, Antonio Padovan, Marc Roussel, Ryan Patch, Jay Holben, Jon Kondelik, James Kondelik, Elias Benavidez, Mike Kochansky, Andreas Borghi","Andrea Monier, Damien Monier, Griffin Gluck",/kWwbhjld0WlxHBfxSp5c7EI0LlJ.jpg,Horror,All Hallow's Eve Collection,A woman finds a VHS tape on her doorstep that shows a series of gruesome tales that could be real. But the true danger is the pumpkin-faced killer that's using the tape to find his next victim.,,,4.6,38,361043,tt5022680
Almost Mercy,Almost Mercy,2015,,,English,84.0,"Tom DeNucci, James Cillizza","Kane Hodder, Bill Moseley, Danielle Guldin",/ibGunHYWEEtNAuINNAx7UCKOzX6.jpg,Horror,,Jackson and Emily aren't like the other kids. Two burgeoning sociopaths on the brink of total meltdown. Ticking time bombs seeking revenge. Who will unravel first?,,,5.8,16,337073,tt3480446
