title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Love Games,2016,114.0,,India,https://img.reelgood.com/content/movie/69350558-4a98-402d-8e24-870332a6ca5b/poster-780.jpg,"Romance, Mystery, Thriller",Mature,4.3,,A pair of nymphomaniacs compete in seducing couples to sleep with them.,"{""reelgood"": ""love-games-2016"", ""amazon"": ""B06X3Y831Q""}"
"Love, Gilda",2018,84.0,,,https://img.reelgood.com/content/movie/f09d6b39-4ed1-4f99-8757-59952c2d8b94/poster-780.jpg,Documentary,Female Director,7.4,89%,"Diaries, audiotapes, videotapes and testimonies from friends and colleagues offer insight into the life and career of Gilda Radner -- the beloved comic and actress who became an icon on Saturday Night Live.","{""reelgood"": ""love-gilda-2018"", ""hulu"": ""6529b3ee-7a33-4f25-9b21-0e924886236f""}"
Love Hunter,2014,86.0,,,https://img.reelgood.com/content/movie/3bb19d95-f7c8-4050-abe0-212e777b0165/poster-780.jpg,Drama,,7.7,83%,"Milan, a former Serbian rock star, takes us on a bumpy ride as he rides all over NYC picking up a motley crew of passengers to scramble money for his recording. When his bass player quits, he has to sift through New York musicians until he finds a promising replacement - and a romantic spark in a free-spirited female bassist. Just as the rehearsals start picking up steam, Milan's longtime Serbian girlfriend arrives with very different plans for their future.","{""reelgood"": ""love-hunter-2014"", ""amazon"": ""B00UST2C22""}"
Love Hurts,1990,106.0,18+ (R),,https://img.reelgood.com/content/movie/ef22e3b6-dd47-4660-8117-2d554d30420e/poster-780.jpg,"Comedy, Drama",,5.6,,The story of Paul Weaver and his strained relationships with women and his family.,"{""reelgood"": ""love-hurts-1990"", ""amazon"": ""B07RH99F22""}"
Love Hurts,2009,95.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/437e3a43-7a60-4e88-9bad-e31be6795a4a/poster-780.jpg,"Comedy, Romance","Psychology, Feel-good",5.6,29%,"After his wife leaves him, middle-aged Ben Bingham slips into a funk and refuses to change out of his pajamas. Justin, Ben's 17-year-old son, has the cure for what ails his depressed dad: he gives Ben a makeover and pushes him out into the singles scene. Soon Ben is the most popular guy in town, but when Justin falls in love for the first time, Ben must refocus his priorities and set about trying to win back his wife.","{""reelgood"": ""love-hurts-2009"", ""amazon"": ""B078ZLQ9QT""}"
Love & I Had A Fight,2013,19.0,18+ (R),,https://img.reelgood.com/content/movie/58beeaf7-9fee-420e-b45f-ffbcd685b97a/poster-780.jpg,"Drama, Romance",,,,"'Love & I Had A Fight' follows James on his self-medicated, suicidal journey induced by a series of failed relationships. Over the course of 24 hours, James goes on a hallucinogenic trip that brings him face-to-face with the moments that broke his heart, his soul, and ultimately his will to live.","{""reelgood"": ""love-i-had-a-fight-2013"", ""amazon"": ""B07Z44K41V""}"
Love in a Puff,2010,104.0,,,https://img.reelgood.com/content/movie/99b7cc67-7777-4ca5-8f14-24cda41b0c32/poster-780.jpg,"Comedy, Drama, Romance",,7.2,,"Jimmy is a mild mannered advertising executive in his twenties. While smoking in an alley packed with booming loudmouth co-workers and sharing explicit gossips and horror stories, he befriends a misfit cosmetics salesgirl Cherie who also likes to light up. An awkward romance soon blossoms amidst the anxiety of their nicotine rush. As they become more attached to each other, they also find themselves moving farther away from their regular hot pot pack into their own private alley, where their conversations suggest more emotional depths, covering the collision of reality and delightfully trivial matters of the bizarre people around them.","{""reelgood"": ""love-in-a-puff-2010"", ""netflix"": ""70142792""}"
Love in High Gear,1932,66.0,,,https://img.reelgood.com/content/movie/3df959bb-76b5-4153-9c5c-a470a53a4793/poster-780.jpg,"Comedy, Romance",,5.6,,"A young couple making plans to elope are overheard by a jewel thief, who sees a chance to turn the situation to his advantage.","{""reelgood"": ""love-in-high-gear-1932"", ""amazon"": ""B004P14ZRE""}"
Love in Pawn,1953,90.0,,,https://img.reelgood.com/content/movie/0f94e05b-9987-491c-bbab-c0930e9e0f95/poster-780.jpg,Comedy,,6,,"A British comedy about a struggling artist and his wife living on a houseboat. To raise money she pawns him! His new family takes a liking to him particularly the daughter! The wife tries to redeem her husband but finds she has lost the pawn ticket. In a short matter of time, the whole incident becomes a national sensation. Eventually, the husband arrives back at the houseboat just in time to prevent the wife from leaving him.","{""reelgood"": ""love-in-pawn-1953"", ""amazon"": ""B07JH6BP13""}"
Love in the Nick of Tyme,2009,125.0,,,https://img.reelgood.com/content/movie/e6636bdf-37d4-4f44-a05a-3a3667e24b75/poster-780.jpg,"Comedy, Drama, Musical, Romance",Music,6.2,,"Sexy salon owner Tyme Prentice (Terry Dexter) has a problem that any woman would envy: choosing between her on-again off-again boyfriend, jazz musician Marcelles Wynters (Morris Chestnut) and the handsome and charming neighborhood UPS man, Harvey (played masterfully by newcomer Andre Pitre). R&B star Avant, American Idol finalist, Trenyce Cobbins, actress Ellia English(The Jaime Foxx Show, Curb Your Enthusiasm), and C.O.C.O. Brown round out this stellar cast. With show-stopping new music by R&B songstress Vivian Green, this magical production is entertainment at its finest. For a fun-filled evening of laughter and romance, make time for David E. Talbert's Love In The Nick Of Tyme.","{""reelgood"": ""love-in-the-nick-of-tyme-2009"", ""amazon"": ""B0792268FR""}"
