title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
1,2013,112.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/9b61df62-90bc-457f-b482-b1bd6ff874a8/poster-780.jpg,"Documentary, Mystery, Thriller, Science-Fiction, History, Sport","Car, Racing",8,,"Set in the golden era of Grand Prix Racing '1' tells the story of a generation of charismatic drivers who raced on the edge, risking their lives during Formula 1's deadliest period, and the men who stood up and changed the sport forever.","{""reelgood"": ""1-2013"", ""amazon"": ""B0751Q3J8P""}"
13 Times Evil,2016,90.0,16+,,https://img.reelgood.com/content/movie/9c932c9a-9614-4bc2-8388-c80b09ba16fb/poster-780.jpg,Documentary,,5.3,,History is replete with psychotic killers with a horrific and utterly barbarous list of murders and slayings. Explore the darkness that haunts our souls and takes some over the precipice. This is the horror...13 of the Most Evil People to have walked the Earth.,"{""reelgood"": ""13-times-evil-2016"", ""amazon"": ""B01CF3983O""}"
21 Days,2014,89.0,18+ (R),,https://img.reelgood.com/content/movie/96cf3fe1-6801-4c05-a974-8b3539e635c2/poster-780.jpg,"Horror, Thriller, Mystery",,4.5,,"Three filmmakers embark on a paranormal challenge by barricading themselves in a house so haunted, no one has been able to live in for more than 21 days.","{""reelgood"": ""21-days-2014"", ""amazon"": ""B01N9Z9YZV""}"
36 Hour Layover,2016,88.0,,,https://img.reelgood.com/content/movie/2674b38d-79a9-4729-be8b-96b92fbe23f8/poster-780.jpg,"Comedy, Romance",,5.9,,"This film is a romantic comedy about a stewardess (Calhoun), who after 12 years of dating (Joseph) as college sweethearts (along with several marriage proposals in between), meets a business man going through a divorce (White) on one of her job layovers. As expected, sparks fire and unexpectedly a traumatic past is revealed, and the couples lives are changed for ever.","{""reelgood"": ""36-hour-layover-2016"", ""amazon"": ""B01ND52F6J""}"
666: Devilish Charm,2014,75.0,,,https://img.reelgood.com/content/movie/d525d8c8-c4dc-42af-b9e0-6d407c64816f/poster-780.jpg,"Thriller, Horror, Mystery",,3.4,,"When a cursed devil's charm' bracelet shows up at a sorority house on Valentine's Day, each girl tries to make a series of wishes, and each finds that unintended consequences are the primary purpose of Satan's sinister strategy.","{""reelgood"": ""666-devilish-charm-2014"", ""amazon"": ""B077ZCKMLS""}"
Aankhen,2002,165.0,16+,,https://img.reelgood.com/content/movie/2c254dfd-60a1-4a81-bc50-4d4d55816690/poster-780.jpg,"Comedy, Thriller, Crime, Drama, Mystery",,7.4,,"After his hatred of dishonesty costs him his job, an embittered man goes over to the dark side and plots to rob the bank he once managed.","{""reelgood"": ""aankhen-2002"", ""amazon"": ""B07VH5R8TK""}"
"A Boy, a Girl and a Dog",1946,77.0,,,https://img.reelgood.com/content/movie/b7b5c5c2-0b42-4a6e-b0d8-71e8415c2bac/poster-780.jpg,"Action & Adventure, Family, Drama",,7,,"During World War II, a young boy and girl, living with their respective families in an apartment house that had restrictions against pets, adopt a lost dog and hide it in a vacant apartment, which may have been the only vacant apartment in the United States at the time this movie was being filmed. A burglar breaks in and the apartment is damaged when the dog and crook have a tussle. This blows the dog's cover, but the kids enlist him in the K-9 Corps, and the dog distinguishes himself in the WWII Italian campaign","{""reelgood"": ""a-boy-a-girl-and-a-dog-1946"", ""amazon"": ""B000RWAZRO""}"
A Christmas Without Snow,1980,95.0,,America,https://img.reelgood.com/content/movie/da5423d1-ea05-4c30-b3bd-cf94aaca6863/poster-780.jpg,"Drama, Romance, Family, Musical","Holiday, Christmas",5.8,,"A divorced woman (Michael Learned) moves to San Francisco from Omaha with her young son. She's trying to re-build her life after her divorce, she leaves her son with his grandmother. She joins the choir of a local church. She has some issues with the choirmaster (John Houseman) who tries to get the choir into shape before the Christmas concert. The choir overcome some personal stebacks as they all deal with personal issues. Zoe (Michael Learned) thinks of quitting the choir all together when push comes to shove.","{""reelgood"": ""a-christmas-without-snow-1980"", ""amazon"": ""B002SIKFWK""}"
A Dark Place Inside,2014,80.0,,,https://img.reelgood.com/content/movie/d6ecd688-1543-4e57-8d87-93890a30c123/poster-780.jpg,Horror,,4.1,,"To survive, Andy commits heinous acts of murder to find refuge from a world that is mad, a world where we deny our true will, thoughts and desires. How many people like Andy commit heinous acts in their attempt to ""cope"" with an insane society?","{""reelgood"": ""a-dark-place-inside-2017"", ""amazon"": ""B012F68QCK""}"
Aerosmith: Rock for the Rising Sun,2013,114.0,13+ (PG-13),,https://img.reelgood.com/content/movie/05c279c0-ddc9-4b6b-8bf9-d3bafd3f4f77/poster-780.jpg,"Documentary, Musical",,7.7,,"In March 2011 Japan was beset by a huge earthquake, a monstrous tsunami and the subsequent meltdown of the Fukushima nuclear plant. In the autumn of 2011, despite advice to the contrary, Aerosmith brought their Back On The Road tour to Japan, a country with which they'd always had a special relationship. The Japanese fans came out in their droves and Aerosmith responded with some of the finest gigs of their distinguished career. This film follows the band on that tour combining full length live tracks with behind the scenes footage which is at times touching and emotional and at others humorous and insightful. More than anything else it demonstrates the Japanese fans love affair with Aerosmith and their music.","{""reelgood"": ""aerosmith-rock-for-the-rising-sun-2013"", ""amazon"": ""B00XBOV6JG""}"
After Porn Ends 2,2017,90.0,18+ (R),America,https://img.reelgood.com/content/movie/a94e87ce-a063-474d-ad16-d1df41442df6/poster-780.jpg,Documentary,Mature,5.4,,"After Porn Ends 2 picks up where it's predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling.","{""reelgood"": ""after-porn-ends-2-2017"", ""amazon"": ""B06XXRWCK3""}"
A Haunting in Salem,2011,90.0,18+ (R),,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMTEiIGhlaWdodD0iMTIuNCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj48cGF0aCBkPSJNMS43NjIuMjk4Qy44MDctLjI1Mi4wMzIuMjA4LjAzMiAxLjMwOHY5Ljc4YzAgMS4xMDguNzY4IDEuNTY0IDEuNzMgMS4wMWw4LjUzLTQuOTA0Yy45NTUtLjU1Ljk2Mi0xLjQzNyAwLTEuOTlMMS43NjEuMjk3eiIgc3Ryb2tlPSJudWxsIiBmaWxsPSIjMDgxMTE4IiBmaWxsLXJ1bGU9ImV2ZW5vZGQiLz48L3N2Zz4=","Horror, Mystery, Thriller",Ghost,3.2,,"When the new sheriff of Salem, Massachusetts discovers that he is the victim of a centuries-old curse, he must protect his family from the vengeful ghosts that torment his home.","{""reelgood"": ""a-haunting-in-salem-2011"", ""amazon"": ""B07DRXF627""}"
A Late Quartet,2012,105.0,18+ (R),America,https://img.reelgood.com/content/movie/426ff343-92be-4f76-b056-d81b5ea227b8/poster-780.jpg,Drama,Music,7.1,76%,"When the beloved cellist of a world-renowned string quartet is diagnosed with a life threatening illness, the group’s future suddenly hangs in the balance as suppressed emotions, competing egos and uncontrollable passions threaten to derail years of friendship and collaboration. As they are about to play their 25th anniversary concert — quite possibly their last — only their intimate bond and the power of music can preserve their legacy.","{""reelgood"": ""a-late-quartet-2012"", ""amazon"": ""B07KLG6X7W""}"
Alien Rising,2013,93.0,,,https://img.reelgood.com/content/movie/ace37dd6-5b05-4d33-a81b-b7ba66ed92f2/poster-780.jpg,"Action & Adventure, Science-Fiction, Thriller, Mystery",,3.1,,"When a seemingly abandoned alien spacecraft is discovered orbiting Neptune, a top secret expedition is sent to investigate. In the derelict hulk they discover two surviving alien life forms telepathically linked to one other.  13 years later a savvy, ex-DEA agent and martial arts expert finds herself renditioned to a high security establishment on a remote island where they are conducting experiments on the incarcerated aliens.","{""reelgood"": ""alien-rising-2013"", ""amazon"": ""B00QYZ8NUY""}"
