title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Canadian Bacon,1995,91.0,7+ (PG),,https://img.reelgood.com/content/movie/802bc7d0-3885-4843-aa3f-12e1ccc7afeb/poster-780.jpg,Comedy,,6,14%,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.","{""reelgood"": ""canadian-bacon-1995"", ""amazon"": ""B07P2HPPMJ""}"
Candle in the Dark: The Story of William Carey,1998,95.0,,,https://img.reelgood.com/content/movie/ac479145-cfe2-4262-994d-5814a4861ff7/poster-780.jpg,"Biography, Drama",,6.8,,William Carey sailed in 1793 to India with a reluctant wife and four children to bring the message of Jesus. There he encountered so much hardship it is amazing he didn't abandon his mission and go home. But he stayed for over 40 years.,"{""reelgood"": ""candle-in-the-dark-the-story-of-william-carey-1998"", ""amazon"": ""B076BV87JQ""}"
Candlestick,2014,83.0,,United Kingdom,https://img.reelgood.com/content/movie/d942e62f-0c17-46a7-9e8a-d8975968096c/poster-780.jpg,"Drama, Mystery, Thriller","Psychology, Religion, Video Games",5.6,,"A social gathering is rocked to its core when Jack accuses his best friend's wife of infidelity. But as the allegations start ﬂying, it soon emerges that a far more sinister game may be at play...","{""reelgood"": ""candlestick-2014"", ""amazon"": ""B01A1F5GTI""}"
Can Dostlar,2019,103.0,,,https://img.reelgood.com/content/movie/ad0ab1c5-b91b-415d-ad35-831b939ef9f3/poster-780.jpg,"Comedy, Family",,5.4,,"Children who play constantly with their phones now seem to have forgotten to play on the street. At the insistence of new arrivals, children decide to play in the park again to end this course. But there is a problem: Bad Kazim sitting in the house next to the park. What is the secret of the evil Kazim who scares everyone who comes to the park? Will the children be able to take the park back from Kazım?","{""reelgood"": ""can-dostlar-2019"", ""netflix"": ""81132440""}"
Candyflip,2019,105.0,,,https://img.reelgood.com/content/movie/30d2d8e7-6640-4de5-aa55-4cdbbbf2c1d8/poster-780.jpg,"Fantasy, Mystery, Thriller",,6,,"Every year, Goa, one of the biggest party and holiday hosts to the world, welcomes infinite number of tourists. Most of them go back once the season gets over. Few choose to stay back, digging deeper into the traces of a hippie hangover, or trying to search oneself through the incandescent, colorful, trippy shores of Goa. And a few yet, get in so deep at the wrong end of paradise, that they are lost forever, in the same place, but in a whole different world altogether. The film takes one such real-life character - Roy - through a plethora of happenings, phenomena, legends, myths, sights, sounds, experiences and thrilling stories of the fabled Goan paradise. What happens to the protagonist through the bitter-sweet, darkly funny, crazy, trippy journey and what comes along at the end of it, weaves the half-fictitious/half-real story of our film - CandyFlip.","{""reelgood"": ""candyflip-2019"", ""netflix"": ""81067758""}"
Candy Jar,2018,92.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/78ee9f97-5109-482c-b147-b1479c2e0f2b/poster-780.jpg,Comedy,"High School, Dating, Teen",5.8,71%,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,"{""reelgood"": ""candy-jar"", ""netflix"": ""80164864""}"
Candyman,1992,99.0,18+ (R),America,https://img.reelgood.com/content/movie/9dcdb1d5-4c18-485f-8658-259baff9b582/poster-780.jpg,"Drama, Horror, Mystery, Thriller","Supernatural, Ghost, Serial Killer",6.6,74%,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.","{""reelgood"": ""candyman-1992"", ""netflix"": ""347365""}"
Candyman: Farewell to the Flesh,1995,93.0,18+ (R),America,https://img.reelgood.com/content/movie/ece58ae5-de36-4ba7-9fcc-ee999eda31c6/poster-780.jpg,Horror,"Supernatural, Ghost, Serial Killer",5.3,28%,"The Candyman moves on to New Orleans and starts his horrific murders once more. This time, his intended victim is a school teacher. Her father was killed by the Candyman, and brother wrongly accused of the murders.","{""reelgood"": ""candyman-farewell-to-the-flesh-1995"", ""amazon"": ""B07HPX62M5""}"
Candyman: The David Klein Story,2010,75.0,,,https://img.reelgood.com/content/movie/f956dfc3-109f-4f3d-91da-5e0b8819e405/poster-780.jpg,"Documentary, Biography",,6.5,,"Candyman tells the amazing true story of David Klein, an eccentric candy inventor from LA, who came up with the concept of Jelly Belly® jellybeans. These colorful beans became a pop culture phenomenon, revolutionized the candy industry and were personally endorsed by Ronald Reagen. However, David's eccentric personality and peculiar sense of business led him to leave Jelly Belly just as it was about to explode and grow into a billion dollar enterprise. Is there room for eccentric genius in the modern corporate world? The film tells how Klein may have lost his beans, but kept his soul.","{""reelgood"": ""candyman-the-david-klein-story-2010"", ""amazon"": ""B01M9E25Y1""}"
Cannabis Evolution,2019,70.0,,,https://img.reelgood.com/content/movie/b571595f-6bbd-4832-aae8-0254e06acfe8/poster-780.jpg,Documentary,,7.9,,"Science has confirmed marijuana has the potential to treat physical and mental conditions, from cancer to PTSD. But the war on drugs has stifled millions in need of help - time to dispel the lies and address the facts.","{""reelgood"": ""cannabis-evolution-2019"", ""hulu"": ""cannabis-evolution-a25110e8-30bb-4fa9-aea5-b225580643a8""}"
Cannes Man,1996,88.0,18+ (R),America,https://img.reelgood.com/content/movie/7b33963e-65db-483a-b863-929f2ed156c0/poster-780.jpg,"Comedy, Drama",Parody,5.2,50%,Film producer Sy Lerner makes a bet with a fellow film executive that he can turn any nobody into a star at the Cannes Film Festival. A New York cab driver who is visiting the festival is chosen as the test subject to settle the bet and Sy uses his skills of hype and manipulation to try and turn the cab driver named Frank into the talk of the town. Many celebrities make cameos throughout the film.,"{""reelgood"": ""cannes-man-1996"", ""amazon"": ""B004QMBVOW""}"
Cannon Fodder,2013,90.0,,Israel,https://img.reelgood.com/content/movie/74899a3e-e73a-43ae-abe3-aca517af421a/poster-780.jpg,"Action & Adventure, Horror","Military, War, Zombie",4.2,,"Doron, a security operative, who takes on one last mission: to capture, number 3 in the terrorist organization of Hezbollah, in Lebanon. With an elite force, Doron enters Lebanon to complete his last mission. Very soon he discovers that reality is not so simple, and that a new and unknown enemy is to be dealt with - and Hezbollah are the last thing on his mind. Doron has to deal with a ticking clock in the form of extensive I.D.F attack and a bloodthirsty enemy, Now that their enemy has changed its face, it's up to him and his unit to wage a new war, a different war, to find an antidote, get back across the border, before the middle east conflict is changed forever.","{""reelgood"": ""cannon-fodder-2013"", ""amazon"": ""B00XRKJNYE""}"
Can She Bake A Cherry Pie?,1983,90.0,18+ (R),,https://img.reelgood.com/content/movie/cdeb8ad5-c6bc-4331-a0b1-70781a213e54/poster-780.jpg,"Comedy, Romance",New York,5.6,,"Zee is walking up and down Manhattan streets, talking to herself and to the husband who has just left her. At a sidewalk café she runs into Eli. A very unlikely, funny and touching relationship develops between two lost souls in the big city, which is the third major character in this film","{""reelgood"": ""can-she-bake-a-cherry-pie-1983"", ""amazon"": ""B07BFJB51Z""}"
Can't Help Falling in Love,2017,119.0,,,https://img.reelgood.com/content/movie/19836bd1-fba1-49d9-a5b5-1419cd1d2b08/poster-780.jpg,"Romance, Comedy",,7.2,,Gab de la Cuesta is a high-strung career woman who got recently engaged to her longtime boyfriend. Her well-planned life suddenly becomes complicated when she discovers that she is actually married to a total stranger.,"{""reelgood"": ""cant-help-falling-in-love-2017"", ""netflix"": ""80188883""}"
Cantonen Iron Kung Fu,1979,90.0,,Hong Kong,https://img.reelgood.com/content/movie/71fd3feb-c1c5-46da-89ca-043a6b04a75a/poster-780.jpg,Action & Adventure,Martial Arts,7.1,,"In a small Chinese town wandering criminals kill a local merchant to take over his trade routes, leaving Liang Kun (Leung Kar Yan) to seek vengeance and protect his town.","{""reelgood"": ""cantonen-iron-kung-fu-1979"", ""amazon"": ""B07SXVL819""}"
Can't Stand Losing You: Surviving The Police,2012,83.0,,,https://img.reelgood.com/content/movie/d1976d90-b33a-4c11-a10d-81fb8fec294a/poster-780.jpg,"Documentary, Biography, History","Female Director, Music",6.9,35%,"Based on the acclaimed memoir by renowned guitarist Andy Summers, Can’t Stand Losing You: Surviving The Police follows Summers’ journey from his early days in the psychedelic ‘60s music scene, when he played with The Animals, to chance encounters with drummer Stewart Copeland and bassist Sting, which led to the formation of a new wave trio, The Police.  The band’s phenomenal rise and its highly publicized dissolution at the height of their fame in the early ’80s captured by Summers’ camera.  Utilizing rare archival footage, Summers’ photos, and insights from the guitarist’s side of the stage, Can’t Stand Losing You brings together past and present as the band members prepare to reunite for the first time in two decades later for a global reunion tour in 2007.","{""reelgood"": ""cant-stand-losing-you-surviving-the-police-2012"", ""amazon"": ""B07HRFQFFM""}"
Can't You Hear the Wind Howl? The Life & Music of Robert Johnson,1998,77.0,,,https://img.reelgood.com/content/movie/2edd49aa-7459-426d-affe-3dfbedafc0c9/poster-780.jpg,"Documentary, Biography",,7.3,,"An in-depth, award-winning documentary on the life and music of legendary bluesman Robert Johnson. Mixing rare photographs, exclusive interviews, and dramatic re-creations, director Peter Meyer presents a compelling portrait of this enigmatic figure.","{""reelgood"": ""cant-you-hear-the-wind-howl-the-life-music-of-robert-johnson-1998"", ""amazon"": ""B005IZGA3S""}"
Canyon Crossroads,1955,83.0,,,https://img.reelgood.com/content/movie/8a5668f7-215d-4e25-8d16-a141edbe56e4/poster-780.jpg,Action & Adventure,,6,,"A mining engineer, who is shunned by his peers for his unorthodox beliefs concerning the whereabouts of large uranium deposits, joins forces with a girl and her father to search for the mineral. When the father is hurt in an accident, daughter and engineer continue the project, aided by a Native American guide. Unbeknownst to the group, a reputable citizen of the town, really of low moral value, is shadowing themi, his intention, to jump their claim. Written by Buxx Banner","{""reelgood"": ""canyon-crossroads-1956"", ""amazon"": ""B009U0C9F0""}"
Can You Dig This,2015,80.0,,,https://img.reelgood.com/content/movie/138c18f7-dbd7-4728-8fcb-cb066353fc39/poster-780.jpg,"Documentary, Drama, Family",,8.1,,"Can You Dig This explores the urban gardening revolution currently taking place in South Central Los Angeles, one of the largest food deserts in the country. We follow the inspirational personal journeys of five 'gangster gardeners,' all planting the seeds for a better life.","{""reelgood"": ""can-you-dig-this-2015"", ""amazon"": ""B018T33TKW""}"
Cape Karma,2007,90.0,,,https://img.reelgood.com/content/movie/e9f3fbb0-0856-4d13-8d60-82823b0f4124/poster-780.jpg,"Drama, Mystery, Thriller",,4.4,,A man is in danger after he falls for the wife of a wealthy male.,"{""reelgood"": ""cape-karma-2007"", ""amazon"": ""B07L878QVN""}"
Capital Games,2013,97.0,,,https://img.reelgood.com/content/movie/2fb64f8b-55c3-4a6a-bef8-def4c318198d/poster-780.jpg,"Romance, LGBTQ",,5.4,,"Take two ambitious men, one top LA advertising firm, add a competition for the same high ranking job. Tough ex-LAPD cop, Steve Miller quit police to work in the calm environment of a business office. Mark Richfield, the glamorous new kid in the office, soon wins favor with the big boss and co-workers causing Steve to cringe in jealousy. After a crazy night in the Santa Fe desert Steve becomes torn between passionate love and passionate hatred. Steve and Mark endure agonizing decisions that will affect their lives forever.","{""reelgood"": ""capital-games-2013"", ""amazon"": ""B07JG3MHBP""}"
Capitalism: A Love Story,2009,128.0,18+ (R),America,https://img.reelgood.com/content/movie/4feb9286-bb19-4524-86ad-f04ce1da28bb/poster-780.jpg,"Documentary, Crime",Political,7.4,75%,"Michael Moore comes home to the issue he's been examining throughout his career: the disastrous impact of corporate dominance on the everyday lives of Americans (and by default, the rest of the world).","{""reelgood"": ""capitalism-a-love-story-2009"", ""amazon"": ""B008VZFISU""}"
Capital Punishment,1991,89.0,,America,https://img.reelgood.com/content/movie/04e316df-ee1c-466f-83b4-a212d5d3df47/poster-780.jpg,"Action & Adventure, Thriller","Martial Arts, Drug, Boxing",3.8,,"Deadliest Hands of Kung Fu, longest arm of the law","{""reelgood"": ""capital-punishment-1991"", ""amazon"": ""B07QNH7XQ9""}"
Capoeira: Fly Away Beetle,2011,90.0,,,https://img.reelgood.com/content/movie/89b5d2cf-bbc5-4b83-b1a8-968e0d53f930/poster-780.jpg,"Documentary, Action & Adventure",,8.1,,"Documentary -  Roque Batista, Ted Golder, Mestre Cobra Mansa","{""reelgood"": ""capoeira-fly-away-beetle-2011"", ""amazon"": ""B00C4QLI86""}"
Capps Crossing,2017,90.0,,,https://img.reelgood.com/content/movie/d842c508-629b-425a-8b57-506b697de7cb/poster-780.jpg,"Horror, Thriller",,4.3,,"David has lost his girlfriend and his mind. Capps Crossing is his only refuge. When six hikers make the mistake of choosing Capps Crossing to spend the weekend, David will stop at nothing to make sure they never come back.","{""reelgood"": ""capps-crossing-2017"", ""amazon"": ""B0711JWWT7""}"
Cappuccino,2017,131.0,,,https://img.reelgood.com/content/movie/904fdeaf-59f8-4816-aaab-d57008121b3e/poster-780.jpg,"Drama, Comedy",,3.7,,"Richi, an ad filmmaker, gives his computer's hard disk for servicing in a shop and the disk gets exchanged and ends up with a girl named Sneha. Soon, he contacts Sneha and gets his disk and eventually falls in love with her. However, when Richi asks for Sneha's picture, she sends him a picture of a model named Janaki, who is married to Jeevan. Richi, having no knowledge of this, creates an album with his and Janaki's pictures. In an unfortunate turn of events, the album ends up with Jeevan and the life of these four individuals changes.","{""reelgood"": ""cappuccino-2017"", ""netflix"": ""80994575"", ""amazon"": ""B07Z8JBK4K""}"
Capricorn One,1977,123.0,7+ (PG),United Kingdom,https://img.reelgood.com/content/movie/52cd7ae3-2616-4fe4-964f-b42a67d4e4b6/poster-780.jpg,"Action & Adventure, Thriller, Mystery, Science-Fiction, Drama","Escape, Space, Suspense, Science",6.9,62%,"In order to protect the reputation of the American space program, a team of scientists stages a phony Mars landing. Willingly participating in the deception are a trio of well-meaning astronauts, who become liabilities when their space capsule is reported lost on re-entry. Now, with the help of a crusading reporter, they must battle a sinister conspiracy that will stop at nothing to keep the truth.","{""reelgood"": ""capricorn-one-1977"", ""amazon"": ""B003DGC380""}"
Capsule,2015,91.0,16+,United Kingdom,https://img.reelgood.com/content/movie/77d802b2-3f37-465f-9305-8d08244868ab/poster-780.jpg,"Action & Adventure, Thriller, Drama, History, Science-Fiction, Mystery, Fantasy","Space, Science",6.3,,"Guy is an experienced British fighter pilot who is in command of Britain's first manned mission to space. He has trained for this for three years at the height of the Cold War and now he is alone in space with a malfunctioning capsule. He has limited contact with the UK, some unusual communication with the US and some unorthodox communication with Roscosmos deep in Soviet Russia. Who will help him? Will he make the right choice?","{""reelgood"": ""capsule-2015"", ""amazon"": ""B01M18RI4T""}"
Captain America: The First Avenger,2011,124.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/51a68477-405e-4703-9c58-899052fd884f/poster-780.jpg,"Action & Adventure, Science-Fiction","New York, War, Supernatural, Superhero, Comic Book, World War II, Adaptation, Heroism",6.9,80%,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.","{""reelgood"": ""captain-america-the-first-avenger-2011"", ""amazon"": ""B005PW3OS8""}"
Captain Beefheart: Under Review,2006,90.0,,,https://img.reelgood.com/content/movie/2e6463dc-a550-4af6-8531-d876aee7b04d/poster-780.jpg,,,,,Captain Beefheart Under Review documents the career of the unique musician. The film combines performance footage by the man and his various back-up players along with interviews by colleagues who illuminate aspects of some of the songs and offer testimonials on the genius of the artist.,"{""reelgood"": ""captain-beefheart-under-review-2006"", ""amazon"": ""B079LY3KWJ""}"
Captain Calamity,1936,60.0,,,https://img.reelgood.com/content/movie/87e30712-8836-4193-b9a0-369e7d98eb57/poster-780.jpg,"Action & Adventure, Crime, Romance",,4.4,,A South Seas skipper fights off thieves and pirates who are after a lost treasure.,"{""reelgood"": ""captain-calamity-1936"", ""amazon"": ""B000YFUR3G""}"
Captain Fantastic,2016,119.0,18+ (R),America,https://img.reelgood.com/content/movie/027eb919-200c-4679-b516-8069ea0664d4/poster-780.jpg,"Drama, Comedy, Action & Adventure","Survival, Feel-good",7.9,82%,A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society.,"{""reelgood"": ""captain-fantastic-2016"", ""hulu"": ""captain-fantastic-b52728f0-e380-449a-aeb5-3612f774d02e""}"
